"","ID1","ID2","ID3","ID4","ID5","Kills","Time","Win","Gold","Killspermin","Goldpermin","Assists","Intensity","Assistspermin","Region","IndegCent","OutdegCent"
"2976",5,7,11,4,22,49,17.6333333333333,0,72734,2.77882797731569,4124.80151228733,63,0.0955128842901204,0.411662336826984,"Brazil",0.244444444444444,0.244444444444444
"2977",5,24,9,5,22,65,15.6833333333333,1,75960,4.14452709883103,4843.35812964931,65,0.0834977986943981,0.223607282369695,"Brazil",0.233333333333333,0.233333333333333
"2978",2,4,14,23,21,64,14.15,1,78258,4.52296819787986,5530.60070671378,76,0.104593639575972,0.184794416211964,"Brazil",0.277777777777778,0.277777777777778
"2979",14,9,12,12,7,54,23.75,0,93703,2.27368421052632,3945.38947368421,44,0.0409672830725462,0.127645429362881,"Brazil",0.255555555555556,0.255555555555556
"2980",9,3,7,7,7,33,29.45,0,58428,1.12054329371817,1983.97283531409,41,0.0582100412321125,0.0830160180559839,"Brazil",0.266666666666667,0.266666666666667
"2981",4,0,1,2,1,8,19.85,0,33914,0.403022670025189,1708.51385390428,12,0.0666765446732849,0.114206676014695,"Brazil",0.255555555555556,0.255555555555556
"2982",6,13,9,7,2,37,33.5166666666667,0,64305,1.10392839383391,1918.59771258081,71,0.0661228110258443,0.0729948485715437,"Brazil",0.233333333333333,0.233333333333333
"2983",11,21,6,33,6,77,25.85,1,108916,2.97872340425532,4213.38491295938,43,0.0359982806791317,0.100266004212669,"Brazil",0.266666666666667,0.266666666666667
"2984",8,12,16,28,24,88,23.9,1,110406,3.68200836820084,4619.49790794979,86,0.0413179916317992,0.138302900859579,"Brazil",0.233333333333333,0.233333333333333
"2985",5,20,12,10,15,62,14.9833333333333,1,71943,4.13793103448276,4801.53503893215,55,0.0465633649791758,0.133630124189403,"Brazil",0.266666666666667,0.266666666666667
"2986",5,1,0,4,4,14,13.4166666666667,0,37826,1.04347826086957,2819.32919254658,10,0.0685233420156281,0.316654450059797,"Brazil",0.155555555555556,0.155555555555556
"2987",3,4,11,4,5,27,14.8166666666667,0,56602,1.822272215973,3820.15748031496,29,0.0739193315121324,0.314302669421665,"Brazil",0.3,0.3
"2988",6,9,10,12,13,50,19.4333333333333,0,79945,2.57289879931389,4113.80789022298,56,0.0422942268380366,0.158875397556261,"Brazil",0.244444444444444,0.244444444444444
"2989",2,10,17,10,7,46,35.8833333333333,1,81241,1.28193218764515,2264.03158383651,69,0.0507342170138269,0.0551407653564119,"Brazil",0.244444444444444,0.244444444444444
"2990",6,4,10,14,8,42,33.85,1,72394,1.24076809453471,2138.670605613,79,0.0502215657311669,0.0445095117262927,"Brazil",0.222222222222222,0.222222222222222
"2991",0,1,2,1,1,5,16.0166666666667,0,25165,0.312174817898023,1571.17585848075,5,0.0790842872008325,0.0740643688665445,"Brazil",0.0694444444444444,0.194444444444444
"2992",1,5,2,2,0,10,22.4,0,35558,0.446428571428571,1587.41071428571,12,0.0744047619047619,0.109614158163265,"Brazil",0.144444444444444,0.366666666666667
"2993",8,2,8,10,5,33,32.6333333333333,1,69212,1.01123595505618,2120.89887640449,66,0.0588355464759959,0.0450731969938682,"Brazil",0.222222222222222,0.222222222222222
"2994",13,7,5,8,2,35,19.8166666666667,1,47028,1.76619007569386,2373.15391084945,40,0.0538267451640034,0.0407435413352422,"Brazil",0.255555555555556,0.255555555555556
"2995",2,10,3,0,2,17,29.5666666666667,0,54495,0.574971815107103,1843.12288613303,36,0.0624403781111786,0.0549081115295595,"Brazil",0.188888888888889,0.3
"2996",6,9,5,9,3,32,21.6666666666667,1,49251,1.47692307692308,2273.12307692308,33,0.0692307692307692,0.0447337278106509,"Brazil",0.266666666666667,0.266666666666667
"2997",1,7,5,6,5,24,24.4666666666667,1,52007,0.980926430517711,2125.62670299728,34,0.0673184805257253,0.0467744210737328,"Brazil",0.288888888888889,0.288888888888889
"2998",3,8,6,14,9,40,25.7666666666667,1,56510,1.55239327296248,2193.14359637775,52,0.0531081909171376,0.0391612792015116,"Brazil",0.233333333333333,0.233333333333333
"2999",2,2,0,2,3,9,17.3,0,26531,0.520231213872832,1533.5838150289,14,0.0735680504466632,0.0935547462327508,"Brazil",0.233333333333333,0.344444444444444
"3000",1,17,7,3,1,29,29.4833333333333,1,57015,0.983606557377049,1933.80440927077,53,0.0521807192242466,0.0230078920265192,"Brazil",0.266666666666667,0.266666666666667
"3001",11,5,0,0,6,22,32.2333333333333,0,56380,0.682523267838676,1749.12099276112,38,0.0546018614270941,0.0423489101037441,"Brazil",0.211111111111111,0.322222222222222
"3002",6,16,2,9,4,37,32.1333333333333,1,69079,1.15145228215768,2149.76141078838,65,0.0684647302904564,0.0639193540056128,"Brazil",0.244444444444444,0.244444444444444
"3003",9,16,3,4,7,39,33.3333333333333,1,65982,1.17,1979.46,66,0.0372,0.0279,"Brazil",0.255555555555556,0.255555555555556
"3004",4,4,1,2,2,13,25.9166666666667,0,43762,0.501607717041801,1688.56591639871,14,0.0723472668810289,0.0669968259219818,"Brazil",0.244444444444444,0.244444444444444
"3005",9,5,4,3,7,28,33.1666666666667,0,64449,0.844221105527638,1943.18592964824,48,0.0525206678554061,0.0490896694527916,"Brazil",0.244444444444444,0.244444444444444
"3006",1,11,11,8,11,42,25.5666666666667,1,58633,1.64276401564537,2293.33767926988,39,0.0782268578878748,0.0734332955401172,"Brazil",0.266666666666667,0.266666666666667
"3007",13,14,8,4,9,48,35.4,1,76645,1.35593220338983,2165.11299435028,103,0.0467867231638418,0.0422930830859587,"Brazil",0.222222222222222,0.222222222222222
"3008",6,1,2,1,3,13,22.6666666666667,0,34583,0.573529411764706,1525.72058823529,29,0.0845588235294118,0.0895328719723183,"Brazil",0.288888888888889,0.288888888888889
"3009",1,13,6,3,15,38,34.8833333333333,1,70527,1.08934543717152,2021.79646440516,73,0.0495157016896147,0.0468423742692008,"Brazil",0.255555555555556,0.255555555555556
"3010",6,8,9,7,14,44,39.45,1,79620,1.11533586818758,2018.25095057034,63,0.0299573683604102,0.0334125274488732,"Brazil",0.244444444444444,0.244444444444444
"3011",3,3,9,3,12,30,36.1,1,73813,0.831024930747922,2044.68144044321,51,0.0397045244690674,0.0329954496972859,"Brazil",0.255555555555556,0.255555555555556
"3012",0,4,2,1,6,13,15.9833333333333,1,30629,0.813347236704901,1916.3086548488,11,0.0417101147028154,0.0234864045250473,"Brazil",0.255555555555556,0.255555555555556
"3013",12,6,1,4,7,30,26.0333333333333,1,57411,1.15236875800256,2205.2880921895,44,0.0691421254801537,0.0531181501768146,"Brazil",0.266666666666667,0.266666666666667
"3014",13,1,8,8,8,38,40.5,1,79282,0.938271604938272,1957.58024691358,60,0.0395061728395062,0.0292638317329675,"Brazil",0.255555555555556,0.255555555555556
"3015",6,1,10,7,4,28,28.55,1,60365,0.980735551663748,2114.36077057793,44,0.0525394045534151,0.0257636309543892,"Brazil",0.277777777777778,0.277777777777778
"3016",4,2,11,1,3,21,31.3833333333333,0,54688,0.669144981412639,1742.58098778545,32,0.0375832346092569,0.0467046038160707,"Brazil",0.3,0.3
"3017",5,8,6,3,9,31,30.4833333333333,0,57512,1.01694915254237,1886.67031164571,39,0.0411967398629318,0.0581124050554205,"Brazil",0.255555555555556,0.255555555555556
"3018",11,0,2,3,8,24,28.5333333333333,0,51093,0.841121495327103,1790.64252336449,32,0.0645597638957206,0.0859791248143943,"Brazil",0.2,0.311111111111111
"3019",2,10,9,7,0,28,36.3,1,67916,0.771349862258953,1870.96418732782,43,0.0574919151994251,0.0364273842861371,"Brazil",0.188888888888889,0.3
"3020",3,6,5,6,6,26,17.2833333333333,1,39417,1.50433944069431,2280.63645130183,25,0.0578592092574735,0.0301291928631009,"Brazil",0.133333333333333,0.355555555555556
"3021",11,15,10,7,0,43,32.8333333333333,1,66387,1.30964467005076,2021.93908629442,71,0.0420594633792603,0.053801953155196,"Brazil",0.266666666666667,0.266666666666667
"3022",5,1,5,2,1,14,20.95,0,33377,0.668257756563246,1593.17422434368,19,0.0596658711217184,0.102528465889349,"Brazil",0.288888888888889,0.288888888888889
"3023",0,0,0,1,1,2,15.5833333333333,0,22488,0.128342245989305,1443.08021390374,2,0.10132282578103,0.123537990791844,"Brazil",0.0888888888888889,0.0888888888888889
"3024",4,0,0,2,1,7,21.6166666666667,0,32861,0.323824209714726,1520.16962220509,11,0.0442492708926955,0.047080951296777,"Brazil",0.122222222222222,0.344444444444444
"3025",9,12,0,1,3,25,34.85,0,58706,0.717360114777618,1684.53371592539,33,0.0678231381244294,0.064222770677365,"Brazil",0.2,0.311111111111111
"3026",1,6,13,3,2,25,20.5833333333333,1,44211,1.21457489878543,2147.9028340081,34,0.048582995951417,0.011801537478077,"Brazil",0.3,0.3
"3027",1,4,0,1,8,14,20.3333333333333,0,34711,0.688524590163934,1707.09836065574,16,0.0509367681498829,0.070142434829347,"Brazil",0.244444444444444,0.244444444444444
"3028",2,6,8,5,1,22,36.6333333333333,0,63235,0.600545950864422,1726.1601455869,40,0.037046665800078,0.0283159229045182,"Brazil",0.266666666666667,0.266666666666667
"3029",6,12,8,1,4,31,30.5,1,61379,1.01639344262295,2012.4262295082,35,0.053864168618267,0.0494490728298844,"Brazil",0.3,0.3
"3030",0,4,1,4,1,10,18.75,0,29771,0.533333333333333,1587.78666666667,12,0.0746666666666667,0.119466666666667,"Brazil",0.255555555555556,0.255555555555556
"3031",5,2,0,0,2,9,25.05,0,41218,0.359281437125749,1645.42914171657,17,0.0660218025487487,0.0685256234038908,"Brazil",0.133333333333333,0.355555555555556
"3032",5,20,7,4,1,37,34.6,0,66093,1.06936416184971,1910.20231213873,70,0.0413997812841743,0.0442714424137124,"Brazil",0.255555555555556,0.255555555555556
